edge_id,std_dev
179-1758,0.042185556
478-1756,0.041818097
178-1758,0.041887015
73-1758,0.04146643
67-1758,0.042682417
55-1758,0.042541053
260-1758,0.042978536
1661-1758,0.049610108
440-1758,0.041873634
391-1760,0.040727377
75-1760,0.058135964
573-1760,0.04496095
170-1760,0.07425458
1050-1762,0.045615446
601-1760,0.044375215
1112-1760,0.05306228
408-1766,0.14424154
674-1765,0.073374875
229-1764,0.053596575
518-1769,0.047969062
1575-1769,0.073215075
308-1769,0.042856302
524-1769,0.0656855
392-1769,0.06522026
775-1769,0.13962716
748-1772,0.05555761
940-1772,0.0834643
942-1772,0.065055154
1197-1772,0.05349223
1288-1772,0.05384213
1406-1772,0.05915824
1464-1772,0.06822095
1751-1772,0.12942806
680-1773,0.030989133
490-1776,0.0767064
144-1776,0.07884003
900-1775,0.041617878
816-1775,0.0427199
21-1775,0.07722504
826-1775,0.041814666
179-1780,0.04184074
169-1780,0.040495887
309-1780,0.04154526
178-1780,0.041078534
206-1780,0.041538384
55-1780,0.04092112
339-1780,0.041091084
354-1780,0.042768557
396-1780,0.042805135
505-1780,0.04259422
552-1780,0.04307368
656-1780,0.04113649
753-1780,0.043980088
67-1780,0.0420785
659-1780,0.044439044
24-1780,0.04298336
440-1780,0.041521035
1367-1787,0.048911363
555-1787,0.038318813
173-1787,0.06132116
440-1781,0.041636076
234-1785,0.032797433
459-1786,0.044175718
240-1784,0.078255504
1794-1980,0.050386976
880-1794,0.04112432
733-1794,0.041389834
1313-1794,0.045044117
1549-1794,0.045013543
694-1794,0.042732414
692-1794,0.043798592
919-1794,0.04230236
182-1794,0.044369783
55-1794,0.042050473
1567-1794,0.045742072
1758-1794,0.04614935
1780-1794,0.05097887
429-1794,0.04431756
260-1794,0.04168636
1129-1794,0.04355021
336-1791,0.054786306
1207-1794,0.042370677
599-1791,0.067791246
229-1791,0.04307793
291-1789,0.043839876
113-1790,0.04991503
1264-1794,0.04172521
748-1790,0.042313486
433-1792,0.09072921
589-1792,0.07793836
500-1789,0.060114812
98-1793,0.04703978
308-1796,0.042599037
646-1796,0.0466079
670-1789,0.06052189
1794-1988,0.08675613
1794-2091,0.078011855
1794-1968,0.044977035
67-1793,0.042632297
421-1798,0.06477122
391-1799,0.03952217
530-1797,0.047370695
186-1798,0.05317294
396-1804,0.041167226
417-1804,0.050491307
55-1804,0.04298558
67-1804,0.04276349
339-1804,0.041361447
354-1804,0.040893175
441-1804,0.04768197
753-1804,0.042537563
308-1802,0.04530024
454-1804,0.044551812
552-1804,0.041628715
659-1804,0.042180628
737-1804,0.16097012
1097-1804,0.02986356
440-1804,0.043010537
91-1812,0.10891565
833-1809,0.0868856
1777-1805,0.05663395
79-1806,0.04509605
235-1803,0.061003026
382-1810,0.048742767
470-1808,0.049810257
897-1810,0.04297217
1175-1812,0.047123384
238-1812,0.08008375
1178-1812,0.08370685
9-1815,0.04201721
542-1807,0.02823912
876-1815,0.044545386
604-1815,0.041806564
1182-1819,0.049229283
119-1818,0.041488357
254-1819,0.051830586
1138-1816,0.04459462
350-1824,0.044041485
1074-1816,0.04184052
349-1824,0.049041383
805-1817,0.0474231
407-1817,0.11907631
1341-1816,0.042774327
1423-1816,0.05247144
833-1818,0.047714125
284-1825,0.042072885
87-1825,0.041784614
452-1825,0.041782096
664-1826,0.047214508
52-1825,0.04082787
392-1827,0.064554825
662-1827,0.05414329
1571-1827,0.04561993
336-1829,0.03916499
837-1832,0.043127447
105-1834,0.040724214
166-1833,0.052349262
150-1837,0.0527798
313-1837,0.057373244
119-1838,0.042141154
183-1838,0.054391302
816-1838,0.043412603
900-1838,0.043653157
826-1838,0.042991128
627-1843,0.06712258
1409-1843,0.061307542
1320-1843,0.062027533
1182-1843,0.06726083
462-1843,0.069934234
166-1843,0.04732838
277-1842,0.044645883
382-1842,0.05168437
897-1842,0.03789931
678-1843,0.041420784
79-1842,0.06581718
267-1848,0.030794866
457-1848,0.06406888
158-1848,0.047440454
1411-1848,0.045071505
792-1848,0.05587241
1086-1848,0.09073988
1456-1848,0.066742875
1382-1848,0.04814081
1383-1848,0.05263661
1376-1848,0.03740648
170-1848,0.08986447
409-1848,0.05912368
17-1848,0.09363524
8-1848,0.041644137
6-1848,0.07945451
751-1849,0.093282156
15-1848,0.097081125
276-1848,0.08566009
1400-1848,0.057195913
1251-1851,0.09867341
375-1851,0.04282389
785-1851,0.04534431
1243-1851,0.048592698
478-1856,0.04416012
1648-1851,0.062485192
774-1851,0.041727588
68-1851,0.042573456
138-1854,0.052373752
1647-1851,0.043016866
79-1854,0.047722057
218-1854,0.12787235
1163-1855,0.037575636
738-1855,0.049822558
548-1855,0.027617523
1179-1854,0.08273064
406-1854,0.04826233
100-1854,0.05544045
342-1854,0.042842064
570-1860,0.094247416
663-1858,0.06870554
1423-1860,0.09438392
338-1858,0.046793208
104-1858,0.04845761
617-1862,0.117581815
1378-1862,0.06277484
946-1868,0.057234995
748-1868,0.044449903
463-1868,0.08380701
367-1868,0.048128985
27-1868,0.044452574
1862-1863,0.058724586
1339-1865,0.054233436
1686-1863,0.046397123
1379-1863,0.028297821
1378-1863,0.044800114
253-1862,0.047675777
1406-1868,0.0850431
1359-1868,0.05342002
1751-1868,0.09855045
1772-1868,0.051803287
1686-1862,0.100109726
301-1872,0.04333574
437-1870,0.09099872
328-1870,0.08176177
253-1863,0.042647053
217-1870,0.047277484
437-1869,0.039935995
328-1869,0.13987666
617-1863,0.048710246
40-1873,0.041795965
898-1874,0.025684124
476-1874,0.17138648
5-1874,0.046246316
350-1873,0.044945844
341-1874,0.10934655
358-1876,0.0803346
259-1887,0.10892822
671-1879,0.05181389
413-1882,0.056264423
672-1879,0.054233056
748-1879,0.045595963
1211-1885,0.042153787
1456-1885,0.10865923
1288-1879,0.04394788
1548-1879,0.06002257
1752-1879,0.0596675
1587-1882,0.06329066
435-1885,0.062396236
638-1889,0.044974867
1803-1877,0.032609086
111-1884,0.043521617
304-1889,0.04280118
516-1887,0.12545778
604-1887,0.0417393
734-1887,0.039087392
177-1887,0.08338942
625-1883,0.045952417
196-1883,0.05207826
235-1886,0.07120362
116-1890,0.100123726
172-1890,0.06624417
401-1887,0.026981836
692-1881,0.043130588
531-1892,0.040470425
837-1892,0.0422855
524-1894,0.07745106
735-1894,0.055753056
623-1895,0.057690512
115-1892,0.044866834
1346-1892,0.048797127
731-1892,0.040991426
678-1892,0.040773258
22-1895,0.047540873
689-1898,0.10490239
1295-1891,0.053578407
309-1897,0.043446146
1088-1898,0.06741353
596-1898,0.080692366
339-1897,0.04232907
737-1897,0.0929126
396-1897,0.04124368
440-1897,0.04247165
552-1897,0.042070772
354-1897,0.041345555
1304-1897,0.043876335
753-1897,0.041809063
1180-1897,0.11377167
529-1898,0.10453659
659-1897,0.043200627
216-1899,0.083097465
665-1899,0.049311217
467-1899,0.047373615
464-1899,0.07355151
455-1899,0.039044823
409-1899,0.047505356
1386-1899,0.036186688
298-1899,0.050302144
408-1900,0.110078394
1315-1900,0.06200073
884-1900,0.046644755
953-1900,0.07106779
880-1902,0.040741555
1095-1900,0.0384853
596-1899,0.09981528
1289-1907,0.050982192
396-1915,0.041216508
440-1915,0.04106525
1203-1906,0.06519657
243-1915,0.047741674
272-1915,0.10135892
339-1915,0.041610215
627-1903,0.050603785
63-1915,0.06271654
24-1915,0.043659434
25-1907,0.12511878
6-1906,0.046966556
140-1906,0.10552399
493-1906,0.117611334
1848-1914,0.049035046
659-1915,0.043046214
461-1907,0.11833815
354-1915,0.042051952
654-1907,0.04568764
26-1912,0.033780523
903-1915,0.083800375
206-1915,0.04258269
855-1915,0.04170783
37-1914,0.083931975
465-1913,0.051588714
418-1913,0.057741407
665-1908,0.04482435
596-1908,0.109709024
525-1907,0.057969894
467-1908,0.06862764
464-1908,0.027630873
409-1908,0.04770178
216-1908,0.056638647
1308-1915,0.036321346
195-1912,0.07640723
253-1916,0.043769475
1623-1917,0.08650248
337-1917,0.037238654
396-1919,0.041966915
354-1919,0.041842762
440-1919,0.04289326
880-1919,0.040464252
1385-1919,0.046831805
339-1919,0.04104793
659-1919,0.042292994
1085-1920,0.06670554
1689-1925,0.04436269
1414-1925,0.112115204
1357-1925,0.08946964
1162-1925,0.04507458
804-1925,0.043631155
40-1925,0.043654498
353-1925,0.042969417
722-1925,0.055195726
1491-1925,0.050896183
786-1925,0.043413483
41-1925,0.08846204
652-1924,0.03356876
349-1925,0.088442355
350-1925,0.043302286
452-1925,0.04266985
597-1925,0.043567583
402-1924,0.07390143
52-1925,0.041953277
87-1925,0.042217083
117-1925,0.055300348
133-1925,0.042924374
147-1926,0.039232258
974-1927,0.12671228
510-1932,0.031025108
806-1932,0.0519301
201-1932,0.05357044
198-1932,0.053578548
588-1928,0.082287006
285-1928,0.07322508
858-1932,0.04882864
1345-1927,0.05851613
1070-1927,0.065033786
983-1927,0.031210698
981-1927,0.04149398
977-1927,0.062499687
687-1927,0.059939615
200-1932,0.03945824
202-1928,0.0533777
415-1935,0.030509276
79-1935,0.1434975
634-1933,0.06483391
277-1935,0.051872283
304-1938,0.0524376
638-1938,0.034023155
1128-1937,0.033741824
163-1937,0.048582718
1276-1943,0.041047677
402-1940,0.09554564
479-1942,0.047832806
62-1939,0.089342326
25-1940,0.06954398
449-1939,0.040643472
342-1941,0.050756782
348-1941,0.048125926
1554-1941,0.02566006
748-1940,0.04412393
1138-1944,0.044346806
1341-1944,0.044145275
1074-1944,0.041295342
1732-1944,0.048558094
689-1944,0.045115937
646-1952,0.070843235
6-1947,0.04674946
40-1952,0.042065058
12-1954,0.04381844
1349-1952,0.07907268
623-1952,0.045849025
518-1952,0.04416783
1217-1952,0.050320946
1274-1952,0.096948564
1571-1952,0.034892254
1691-1952,0.03410681
1722-1952,0.03535518
859-1953,0.066483
51-1953,0.10069436
104-1954,0.050335526
662-1952,0.049911816
489-1952,0.06617982
615-1947,0.036091413
740-1952,0.057878572
216-1948,0.08323506
543-1947,0.080705516
17-1947,0.04700699
1226-1947,0.07882116
338-1954,0.05049197
356-1954,0.092072584
705-1954,0.04804585
727-1954,0.049693063
750-1954,0.04137767
1002-1954,0.034337
264-1954,0.05104735
409-1948,0.045468543
253-1955,0.045721352
665-1948,0.03185037
600-1948,0.0470074
596-1948,0.11525559
467-1948,0.041295744
464-1948,0.07279036
634-1955,0.05836634
166-1957,0.043946363
1833-1957,0.053401485
1843-1957,0.08348749
1876-1957,0.09381062
619-1958,0.046185598
267-1956,0.05864217
634-1959,0.06547031
253-1959,0.040777482
449-1961,0.058906768
634-1960,0.08997937
253-1960,0.04190631
67-1966,0.042609144
178-1968,0.04184769
179-1966,0.040109344
179-1968,0.041453924
339-1966,0.04275762
552-1966,0.041791014
440-1966,0.041719664
567-1963,0.04804589
656-1968,0.042268094
1780-1966,0.041278
169-1968,0.043359093
260-1968,0.042197373
67-1968,0.04321171
753-1968,0.041498568
339-1968,0.041891903
880-1968,0.042450745
440-1968,0.04254748
659-1968,0.040363695
174-1965,0.040766947
396-1968,0.04169908
309-1968,0.041523896
505-1968,0.042439796
24-1968,0.041731127
354-1968,0.0423804
173-1965,0.08250776
55-1968,0.04270553
289-1970,0.047125753
18-1970,0.06880033
778-1970,0.06056983
892-1970,0.070793584
1841-1970,0.031379364
1789-1973,0.044767078
217-1972,0.050434217
25-1972,0.1069715
500-1973,0.074744456
1289-1972,0.08427172
1839-1972,0.036682654
682-1972,0.06647608
185-1972,0.05504253
1570-1972,0.062490307
1016-1972,0.03038139
654-1972,0.06319626
461-1972,0.094017796
1665-1972,0.0435807
204-1976,0.041020647
319-1976,0.04403984
229-1976,0.04562657
404-1974,0.122314945
757-1975,0.047445115
67-1980,0.041760717
281-1983,0.14980842
919-1980,0.04274025
178-1980,0.042093847
55-1980,0.04221742
1588-1979,0.05269214
480-1980,0.042169746
766-1980,0.050695486
1180-1980,0.1290719
753-1983,0.042915888
727-1982,0.06972964
24-1980,0.041882362
1374-1977,0.052958857
1183-1979,0.064844124
284-1981,0.045500834
959-1977,0.060154878
467-1977,0.04045566
464-1977,0.062469117
216-1977,0.05755751
1077-1982,0.06318661
409-1977,0.04585638
1268-1981,0.056284316
999-1981,0.08210923
180-1983,0.052024625
226-1981,0.043869976
1175-1979,0.033143785
79-1987,0.04686438
284-1987,0.04060168
537-1987,0.0639472
1150-1987,0.060783796
1469-1987,0.076311834
415-1987,0.0758398
1935-1987,0.0409055
1254-1985,0.07283423
1600-1985,0.041186947
1633-1985,0.03363659
1658-1985,0.08758089
1985-2484,0.08889297
452-1985,0.041500017
104-1992,0.04694455
1288-1990,0.040600285
1027-1995,0.044142734
748-1990,0.042353343
1309-1997,0.03453552
1290-1997,0.06515507
359-1991,0.057129655
565-1991,0.05266613
607-1991,0.039830115
1458-1997,0.043199085
1042-1990,0.04103288
338-1991,0.043505628
104-1991,0.044173602
391-1993,0.041758653
1319-1991,0.0372021
546-1993,0.064467736
992-1997,0.038822662
1074-1993,0.04281434
1019-1993,0.12362611
470-1989,0.050026257
616-1989,0.049205527
338-1992,0.049757812
1885-1996,0.060307655
1856-1996,0.034808096
1456-1996,0.0477819
2-1993,0.050760806
435-1996,0.048268005
37-1996,0.073492534
1883-1995,0.045873567
625-1995,0.09547234
1138-1993,0.043482993
196-1995,0.085489355
1341-1993,0.043157004
1211-1996,0.08033873
55-2001,0.04237532
169-2001,0.04143708
178-2001,0.040990774
826-2005,0.041686885
816-2005,0.042479895
66-2005,0.11734996
67-2001,0.04201357
974-2000,0.06491654
179-2001,0.042229224
1927-2000,0.064015284
739-2005,0.05241062
1104-2000,0.06667848
587-1998,0.047477443
1070-2000,0.0938994
84-1999,0.051315904
983-2000,0.07118159
118-1999,0.04269266
687-2000,0.04616575
977-2000,0.11219787
981-2000,0.11502488
1345-2000,0.082132734
116-2008,0.07433482
482-2008,0.049414337
748-2009,0.042594485
942-2009,0.04716412
1197-2009,0.04452437
262-2006,0.04802574
483-2008,0.046015613
113-2008,0.049993675
1591-2011,0.059856843
870-2011,0.08514691
181-2011,0.13783208
1751-2009,0.041021198
9-2012,0.042139955
177-2012,0.06951704
