edge_id,timestamp,old_state,new_state,score,auc
1575-1769,1,normal,anomalous,0.52124673,0.7890497748874438
524-1769,1,normal,anomalous,0.56328636,0.7890497748874438
144-1776,1,anomalous,normal,0.4299304,0.7890497748874438
21-1775,1,normal,anomalous,0.69849336,0.7890497748874438
589-1792,1,normal,anomalous,0.66059065,0.7890497748874438
91-1812,1,anomalous,normal,0.32779944,0.7890497748874438
1178-1812,1,normal,anomalous,0.7554287,0.7890497748874438
1179-1854,1,anomalous,normal,0.42735553,0.7890497748874438
437-1870,1,normal,anomalous,0.60309535,0.7890497748874438
476-1874,1,anomalous,normal,0.1775714,0.7890497748874438
524-1894,1,anomalous,normal,0.45906955,0.7890497748874438
1623-1917,1,normal,anomalous,0.5265512,0.7890497748874438
588-1928,1,normal,anomalous,0.73424125,0.7890497748874438
79-1935,1,anomalous,normal,0.07507932,0.7890497748874438
62-1939,1,normal,anomalous,0.52372146,0.7890497748874438
859-1953,1,normal,anomalous,0.7272264,0.7890497748874438
1289-1972,1,anomalous,normal,0.43635058,0.7890497748874438
654-1972,1,normal,anomalous,0.5963922,0.7890497748874438
281-1983,1,anomalous,normal,0.082449466,0.7890497748874438
1658-1985,1,normal,anomalous,0.61333203,0.7890497748874438
1985-2484,1,normal,anomalous,0.70355964,0.7890497748874438
259-2012,1,anomalous,normal,0.0759724,0.7890497748874438
624-2031,1,anomalous,normal,0.34964246,0.7890497748874438
985-2031,1,anomalous,normal,0.484918,0.7890497748874438
1194-2027,1,anomalous,normal,0.42052582,0.7890497748874438
870-2069,1,anomalous,normal,0.11401697,0.7890497748874438
1667-2069,1,normal,anomalous,0.69776493,0.7890497748874438
1509-2065,1,anomalous,normal,0.31959465,0.7890497748874438
25-2082,1,anomalous,normal,0.10092741,0.7890497748874438
1294-2087,1,normal,anomalous,0.66367656,0.7890497748874438
510-2093,1,normal,anomalous,0.5410039,0.7890497748874438
151-2101,1,normal,anomalous,0.6766453,0.7890497748874438
616-2111,1,normal,anomalous,0.63786566,0.7890497748874438
2123-2130,1,normal,anomalous,0.6356559,0.7890497748874438
968-2139,1,anomalous,normal,0.38765687,0.7890497748874438
726-2148,1,normal,anomalous,0.5925194,0.7890497748874438
970-2157,1,normal,anomalous,0.6738486,0.7890497748874438
1137-2165,1,anomalous,normal,0.13760921,0.7890497748874438
691-2167,1,normal,anomalous,0.714023,0.7890497748874438
751-2173,1,anomalous,normal,0.116145015,0.7890497748874438
1247-2176,1,normal,anomalous,0.7212141,0.7890497748874438
2095-2180,1,normal,anomalous,0.6865877,0.7890497748874438
645-2195,1,normal,anomalous,0.6623396,0.7890497748874438
1616-2237,1,anomalous,normal,0.48527482,0.7890497748874438
970-2275,1,normal,anomalous,0.64032125,0.7890497748874438
111-2276,1,normal,anomalous,0.69755274,0.7890497748874438
1606-2288,1,normal,anomalous,0.5958759,0.7890497748874438
147-2307,1,normal,anomalous,0.5292664,0.7890497748874438
1104-2319,1,normal,anomalous,0.71423995,0.7890497748874438
537-2325,1,normal,anomalous,0.64286464,0.7890497748874438
1149-2355,1,anomalous,normal,0.4798957,0.7890497748874438
2091-2355,1,anomalous,normal,0.48630643,0.7890497748874438
