fromNode,toNode,weight,date,title
10325,10636,1,1992-01-23,Duality-Invariant Gaugino Condensation and One-Loop Corrected Kahler
10368,10395,1,1992-02-05,Jones Polynomials for Intersecting Knots as Physical States of Quantum
10389,10636,1,1992-02-14,"Duality Anomaly Cancellation, Minimal String Unification and the"
10406,10636,1,1992-02-19,Stringy Domain Walls and Other Stringy Topological Defects
10443,10636,1,1992-03-09,The Search for a realistic flipped SU(5) string model
10478,10479,1,1992-03-24,"Applications of W-algebras to BF theories, QCD and 4D Gravity"
10482,10636,1,1992-03-25,Moduli Corrections to Gravitational Couplings from String loops
10501,10636,1,1992-04-06,Supersymmetry Breaking and Determination of the Unification Gauge
10516,10636,1,1992-04-13,Moduli Corrections to Gauge and Gravitational Couplings in four
10535,10290,1,1992-04-16,Correlation functions from two-dimensional string Ward identities
10536,10290,1,1992-04-16,Extra States and Symmetries in D<2 Closed String Theory
10537,10287,1,1992-04-17,Heisenberg XXZ Model and Quantum Galilei Group
10537,10464,1,1992-04-17,Heisenberg XXZ Model and Quantum Galilei Group
10551,10303,1,1992-04-22,"Twistor-like superstrings with D = 3, 4, 6 target-superspace and N ="
10583,10322,1,1992-05-04,Stabilized Quantum Gravity: Stochastic Interpretation and Numerical
10590,10358,1,1992-05-07,Matrix Model Perturbed by Higher Order Curvature Terms
10591,19857,1,1992-05-07,Conformal Symmetry and Central Charges in 4 Dimensions
10595,10290,1,1992-05-08,Divergences of Discrete States Amplitudes and Effective Lagrangian in 2D
10603,10636,1,1992-05-12,Neutrino Masses within the Minimal Supersymmetric Standard Model
10629,10636,1,1992-05-18,Cosmological Implications of Domain Walls due to Duality Invariant
10633,10290,1,1992-05-19,The operator algebra of the discrete state operators in 2D gravity with
10639,8151,1,1992-05-20,Novel Symmetry of Non-Einsteinian Gravity in Two Dimensions
10644,10500,1,1992-05-21,Four Dimensional 2-Brane Solution in Chiral Gauged Wess-Zumino-Witten
10644,10631,1,1992-05-21,Four Dimensional 2-Brane Solution in Chiral Gauged Wess-Zumino-Witten
10657,10636,1,1992-05-26,Running Gauge Couplings and Thresholds in the Type II Superstring
10666,10300,1,1992-05-28,Gauge theories of quantum groups
10681,10636,1,1992-06-01,Nonperturbative Stability of Supergravity and Superstring Vacua
10680,10679,1,1992-06-01,From Form Factors to Correlation Functions: The Ising Model
10683,10609,1,1992-06-01,Conformally Exact Metric and Dilaton in String Theory on Curved
10720,10609,1,1992-06-10,"Conformally Exact Results for SL(2,R)\times SO(1,1)^{d-2}/SO(1,1) Coset"
10720,10683,1,1992-06-10,"Conformally Exact Results for SL(2,R)\times SO(1,1)^{d-2}/SO(1,1) Coset"
10721,10397,1,1992-06-11,Explicit Solution to the N-Body Calogero Problem
10725,10564,1,1992-06-12,On Correlation Functions for Non-critical Strings with c<1 but d>1
10727,10336,1,1992-06-12,Classical and Quantum Production of Cornucopions At Energies Below
10728,11473,1,1992-06-12,Is Purity Eternal?
10729,10413,1,1992-06-13,"Ashtekar variables, self-dual metrics and w-infinity"
10731,10296,1,1992-06-14,Unitary Matrix Models and 2D Quantum Gravity (Virasoro constraints
10737,10609,1,1992-06-17,String cosmology and dilaton
10737,10683,1,1992-06-17,String cosmology and dilaton
10739,10336,1,1992-06-17,The Endpoint of Hawking Evaporation
10745,10609,1,1992-06-19,"A Closed, Expanding Universe in String Theory"
10745,10631,1,1992-06-19,"A Closed, Expanding Universe in String Theory"
10751,10366,1,1992-06-23,Closed String Field Theory: Quantum Action and the BV Master Equation
10750,10636,1,1992-06-23,Fitting the Quark and Lepton Masses in String Theories
10753,10336,1,1992-06-23,Charged Dilatonic Black Hole and Hawking Radiation in Two Dimensions
