fromNode,toNode,weight,date,title
9401002,9201058,1,1994-01-03,"Hard Thermal Loops, Static Response and the Composite Effective Action"
9508064,9506048,1,1995-08-14,Dual Pairs of Type II String Compactification
9508059,9502101,1,1995-08-14,MINBU Distribution of Two Dimensional Quantum Gravity: Simulation Result
9508060,9303006,1,1995-08-14,"Thermodynamic Properties, Phases and Classical Vacua of Two Dimensional"
9508062,9203039,1,1995-08-14,Consistent string backgrounds and completely integrable 2D field
9508062,9312108,1,1995-08-14,Consistent string backgrounds and completely integrable 2D field
9508062,9401167,1,1995-08-14,Consistent string backgrounds and completely integrable 2D field
9508062,9403197,1,1995-08-14,Consistent string backgrounds and completely integrable 2D field
9508071,9406132,1,1995-08-15,Quantum Moduli Spaces of $N=1$ String Theories
9508071,9408013,1,1995-08-15,Quantum Moduli Spaces of $N=1$ String Theories
9508071,9409089,1,1995-08-15,Quantum Moduli Spaces of $N=1$ String Theories
9508071,9507050,1,1995-08-15,Quantum Moduli Spaces of $N=1$ String Theories
9508071,9507168,1,1995-08-15,Quantum Moduli Spaces of $N=1$ String Theories
9508072,9302109,1,1995-08-15,N=2 Extremal Black Holes
