edge_id,title,original_id,variance,relative_rank
539-3046,Extension of the N=2 Virasoro algebra by two primary fields of dimension,14335,0.23817386,1.0
106-2989,Toward One-Loop Tunneling Rates of Near-Extremal Magnetic Black Hole,14240,0.23552759,0.9888893348749523
1995-2083,Glueball spectrum in a (1+1)-dimensional model for QCD,12820,0.23438977,0.9841120683856742
1226-2678,Lie Superalgebra and Extended Topological Conformal Symmetry in,13775,0.22952165,0.9636727137058618
1018-2678,Lie Superalgebra and Extended Topological Conformal Symmetry in,13775,0.22798918,0.9572384643722028
652-2936,Modular Invariance and Uniqueness of Conformal Characters,14151,0.2274366,0.9549183944871196
1264-3107,Renormalization group flow in one- and two-matrix models,14426,0.22312288,0.936806751169083
797-3164,Automorphisms of W-Algebras and Extended Rational Conformal Field,11279,0.22215973,0.9327628565116256
2503-2904,On Non-Abelian Duality,13530,0.22207333,0.9324000962994009
1468-3502,The Stretched Horizon and Black Hole Complementarity,12121,0.22102009,0.9279779485456549
